nom_subestacao,val_latitude,val_longitude,eh_gerador
SANTA MARIA,-1.3423,-47.5698,0
SE PIMENTAL,-3.4412,-51.9479,0
SERRA PELADA,-6.0808,-49.6848,0
SERRA PELADA,-6.0808,-49.6848,0
TAPAJOS II,-2.6168,-54.6758,0
TAPAJOS II,-2.6168,-54.6758,0
TOME ACU,-2.3549,-48.14,0
TOME ACU,-2.3549,-48.14,0
TRANSAMAZONIC,-3.7075,-53.7151,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
UHE PIMENTAL,-3.4376,-51.9472,1
UT NT BARCARENA,-1.5487,-48.7456,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
VILA DO CONDE,-1.572,-48.7331,0
VILA DO CONDE,-1.572,-48.7331,0
VILA DO CONDE,-1.572,-48.7331,0
XINGU,-3.1065,-51.6926,0
XINGU,-3.1065,-51.6926,0
XINGU,-3.1065,-51.6926,0
XINGUARA 2,-7.073,-49.9213,0
XINGUARA 2,-7.073,-49.9213,0
BOA VISTA,2.9436,-60.7167,0
BOA VISTA,2.9436,-60.7167,0
BOA VISTA,2.9436,-60.7167,0
EQUADOR,0.3677,-60.5084,0
JAGUATIRICA II,2.9651,-60.6758,0
COLINAS,-7.9708,-48.4548,0
COLINAS,-7.9708,-48.4548,0
GURUPI,-11.7356,-49.0117,0
GURUPI,-11.7356,-49.0117,0
GURUPI,-11.7356,-49.0117,0
MIRACEMA,-9.5409,-48.5213,0
MIRACEMA,-9.5409,-48.5213,0
PALMAS,-10.1772,-48.2937,0
PALMAS,-10.1772,-48.2937,0
PEIXE 2,-12.1632,-48.5519,0
SE LAJEADO,-9.7471,-48.3666,0
SE LAJEADO,-9.7471,-48.3666,0
ARAPIRACA III,-9.7868,-36.6488,0
ARAPIRACA III,-9.7868,-36.6488,0
MACEIO,-9.5788,-35.7856,0
MACEIO,-9.5788,-35.7856,0
MACEIO,-9.5788,-35.7856,0
MACEIO,-9.5788,-35.7856,0
MACEIO,-9.5788,-35.7856,0
MACEIO II,-9.5286,-35.7502,0
MACEIO II,-9.5286,-35.7502,0
MESSIAS,-9.4027,-35.8421,0
MESSIAS,-9.4027,-35.8421,0
PENEDO,-10.243,-36.5629,0
PENEDO,-10.243,-36.5629,0
RIO LARGO II,-9.5039,-35.838,0
RIO LARGO II,-9.5039,-35.838,0
SANTANA II,-9.3652,-37.2787,0
SANTANA II,-9.3652,-37.2787,0
USINA XINGO,-9.6248,-37.7974,1
ZEBU,-9.3558,-38.2028,0
ZEBU,-9.3558,-38.2028,0
ABAIXADORA,-9.3958,-38.2007,0
ABAIXADORA,-9.3958,-38.2007,0
ALAGOINHAS II,-12.0609,-38.3945,0
ALAGOINHAS II,-12.0609,-38.3945,0
APOLONIO SALES,-9.3578,-38.2074,0
APOLONIO SALES,-9.3578,-38.2074,0
ARACAS,-14.1028,-42.6094,0
B.JESUS LAPA,-13.3059,-43.3525,0
B.JESUS LAPA,-13.3059,-43.3525,0
BABIL. CENTRO,-11.0172,-41.304,0
BABILONIA SUL,-11.12,-41.2908,0
BARREIRAS,-12.1344,-44.9468,0
BARREIRAS,-12.1344,-44.9468,0
BARREIRAS,-12.1344,-44.9468,0
BARREIRAS II,-12.1716,-44.8083,0
BARREIRAS II,-12.1716,-44.8083,0
BARREIRAS III,-12.0614,-45.0659,0
BOM.JES.LAPA II,-13.31,-43.3436,0
BOM.JES.LAPA II,-13.31,-43.3436,0
BROTAS.MACAUBAS,-12.3084,-42.3433,0
BRUMADO II,-14.2138,-41.6363,0
BRUMADO II,-14.2138,-41.6363,0
BRUMADO II,-14.2138,-41.6363,0
BURITIRAMA,-10.6007,-44.0319,0
CAETITE 123,-14.1863,-42.4934,0
CAETITE A,-14.1381,-42.4782,0
CAMACA,-15.4191,-39.4989,0
CAMACARI II,-12.6205,-38.3459,0
CAMACARI II,-12.6205,-38.3459,0
CAMACARI II,-12.6205,-38.3459,0
CAMACARI II,-12.6205,-38.3459,0
CAMACARI IV,-12.6176,-38.3434,0
CAMACARI IV,-12.6176,-38.3434,0
CAMPO FORMOSO,-10.5842,-40.6132,0
CAMPO LARGO,-10.4545,-41.466,0
CANUDOS I,-10.1305,-38.7515,0
CATU,-12.3986,-38.3637,0
CATU,-12.3986,-38.3637,0
CICERO DANTAS,-10.5973,-38.3671,0
CICERO DANTAS,-10.5973,-38.3671,0
COL SAO VITOR,-10.9567,-42.538,0
COMPLEXO_FUTURA,-9.6608,-40.686,0
COTEGIPE,-12.7941,-38.4225,0
COTEGIPE,-12.7941,-38.4225,0
CRISTALANDIA,-14.0315,-41.5328,0
DARIO MEIRA,-14.4404,-39.8813,0
DELFINA,-10.0072,-40.9299,0
EUNAPOLIS,-16.339,-39.5501,0
EUNAPOLIS,-16.339,-39.5501,0
EUNAPOLIS I,-16.3738,-39.5647,0
F. SANTANA III,-12.1263,-38.9338,0
F. SANTANA III,-12.1263,-38.9338,0
FOLHA LARGA,-10.3545,-40.4382,0
FOLHA LARGA SUL,-10.4582,-40.5172,0
FORD,-12.659,-38.2741,0
FUNIL,-14.2324,-39.4629,0
FUNIL,-14.2324,-39.4629,0
G.MANGABEIRA,-12.6071,-39.0346,0
G.MANGABEIRA,-12.6071,-39.0346,0
GENTIO OURO I,-11.1174,-42.6615,0
GENTIO OURO II,-11.28,-42.6674,0
GENTIO OURO II,-11.28,-42.6674,0
GLOBAL,-12.7275,-38.4829,0
IBICOARA,-13.4397,-41.3741,0
IBICOARA,-13.4397,-41.3741,0
IBICOARA,-13.4397,-41.3741,0
IGAPORA II,-14.0304,-42.6245,0
IGAPORA II,-14.0304,-42.6245,0
IGAPORA III,-13.9832,-42.614,0
IGAPORA III,-13.9832,-42.614,0
IRECE,-11.3086,-41.8079,0
IRECE,-11.3086,-41.8079,0
IRECE,-11.3086,-41.8079,0
ITABELA II,-16.5797,-39.546,0
ITABUNA III,-14.8583,-39.2716,0
ITABUNA III,-14.8583,-39.2716,0
ITAGIBA,-14.2348,-39.7168,0
ITAMARAJU,-17.029,-39.5433,0
ITAPEBI SE,-15.9694,-39.5847,0
JACARACANGA,-12.6971,-38.4826,0
JACARACANGA,-12.6971,-38.4826,0
JAGUARARI-SE,-9.8656,-39.8581,0
JEREMOABO,-10.1629,-38.2991,0
JUAZEIRO II,-9.4809,-40.4765,0
JUAZEIRO II,-9.4809,-40.4765,0
JUAZEIRO III,-9.4864,-40.5193,0
JUAZEIRO III,-9.4864,-40.5193,0
JUAZEIRO III,-9.4864,-40.5193,0
MATATU,-12.9776,-38.4831,0
MATATU,-12.9776,-38.4831,0
MEDEIROS NETOII,-17.3375,-40.1806,0
MEDEIROS NETOII,-17.3375,-40.1806,0
MORRAO,-14.1287,-42.6814,0
MORRO CHAPEU II,-11.7139,-41.3968,0
MORRO CHAPEU II,-11.7139,-41.3968,0
MORRO CHAPEU II,-11.7139,-41.3968,0
NARANDIBA,-12.9541,-38.4448,0
NARANDIBA,-12.9541,-38.4448,0
OLINDINA,-11.3177,-38.3835,0
OLINDINA,-11.3177,-38.3835,0
OLINDINA,-11.3177,-38.3835,0
OUROLANDIA II,-10.8744,-41.3399,0
OUROLANDIA II,-10.8744,-41.3399,0
P. AFONSO I,-9.3973,-38.2022,0
P. AFONSO II,-9.3966,-38.2013,0
P. AFONSO II,-9.3966,-38.2013,0
P. AFONSO III,-9.3989,-38.2023,0
P. AFONSO III,-9.3989,-38.2023,0
P. AFONSO III,-9.3989,-38.2023,0
P. AFONSO III,-9.3989,-38.2023,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV,-9.4159,-38.2065,0
P. AFONSO IV_SE,-9.4138,-38.1995,0
P. AFONSO IV_SE,-9.4138,-38.1995,0
P. AFONSO IV_SE,-9.4138,-38.1995,0
P.AFONSO III,-9.4015,-38.1967,0
P.DO CAVALO,-12.5835,-38.998,0
PINDAI II,-14.4188,-42.6174,0
PINDAI II,-14.4188,-42.6174,0
PIRAJA,-12.9048,-50.4579,0
PIRAJA,-12.9048,-50.4579,0
PITUACU,-12.9371,-38.4205,0
PITUACU,-12.9371,-38.4205,0
POCOES II,-14.5176,-40.3768,0
POCOES II,-14.5176,-40.3768,0
POCOES III,-14.5149,-40.3854,0
POCOES III,-14.5149,-40.3854,0
POLO,-12.659,-38.274,0
POLO,-12.659,-38.274,0
PONTO ASTERIO,-14.9542,-39.8953,0
RIO DAS EGUAS,-13.8546,-46.1754,0
RIO DAS EGUAS,-13.8546,-46.1754,0
RIO FORMOSO II,-14.5835,-45.8787,0
RIO FORMOSO II,-14.5835,-45.8787,0
RIO GRANDE II,-12.8447,-45.4912,0
RIO GRANDE II,-12.8447,-45.4912,0
RIO GRANDE III,-12.6984,-45.1605,0
SAO PEDRO,-13.3164,-43.2728,0
SAPEACU,-12.7172,-39.1856,0
SAPEACU,-12.7172,-39.1856,0
SCHINCARIOL,-12.1571,-38.4024,0
SOL DO SERTAO,-12.3235,-42.6109,0
SR.BONFIM II,-10.4441,-40.188,0
SR.BONFIM II,-10.4441,-40.188,0
SR.BONFIM II,-10.4441,-40.188,0
STO.A.JESUS,-12.9728,-39.2207,0
STO.A.JESUS,-12.9728,-39.2207,0
TABOCAS BRJ VLH,-12.5837,-44.1077,0
TEIX FREITAS II,-17.5699,-39.7308,0
TEIX FREITAS II,-17.5699,-39.7308,0
TEIXEIRA FREITA,-17.5329,-39.7211,0
TERMOBAHIA,-12.7038,-38.5669,0
TOMBA,-12.2881,-38.9679,0
TOMBA,-12.2881,-38.9679,0
TUCANO,-11.2859,-38.7912,0
U.SOBRADINHO,-9.4365,-40.8274,0
U.SOBRADINHO,-9.4365,-40.8274,0
UTE GLOBAL I,-12.7302,-38.4812,1
UTE GLOBAL I,-12.7302,-38.4812,1
UTE GLOBAL II,-12.73,-38.4821,1
UTE GLOBAL II,-12.73,-38.4821,1
UTE PROSPERIDAD,-12.4992,-38.2072,1
VTS STA EUGENIA,-11.4287,-42.1681,0
ABAIARA,-7.3915,-38.9718,0
ABAIARA II,-7.3915,-38.9708,0
ACARAU II,-2.9274,-40.1136,0
ACARAU II,-2.9274,-40.1136,0
ACARAU III,-2.9355,-40.1054,0
ACARAU III,-2.9355,-40.1054,0
ALEX,-5.2704,-37.9675,0
AQUIRAZ II,-3.9275,-38.402,0
AQUIRAZ II,-3.9275,-38.402,0
ARACATI II,-4.488,-37.7631,0
BANABUIU,-5.3051,-38.9126,0
BANABUIU,-5.3051,-38.9126,0
CALCARIO,-5.0347,-37.785,0
CAUIPE,-3.6943,-38.8705,0
CAUIPE,-3.6943,-38.8705,0
CRATO II,-7.1908,-39.3803,0
CRATO II,-7.1908,-39.3803,0
DELM. GOUVEIA,-3.7874,-38.5155,0
DELM. GOUVEIA,-3.7874,-38.5155,0
ENERGIA PECEM,-3.582,-38.8726,0
FAZENDA ALEX,-5.2697,-37.9679,0
FORTALEZA,-3.8284,-38.5404,0
FORTALEZA,-3.8284,-38.5404,0
FORTALEZA II,-3.8325,-38.5426,0
FORTALEZA II,-3.8325,-38.5426,0
IBIAPINA II,-3.8994,-41.1887,0
IBIAPINA II,-3.8994,-41.1887,0
ICARAI,-3.0953,-39.6016,0
ICARAIZINHO SE,-3.019,-39.6791,0
ICO,-6.4093,-38.8815,0
ICO,-6.4093,-38.8815,0
ITAREMA V,-2.9653,-39.8894,0
JAGUARUANA II,-4.9291,-37.6836,0
JAGUARUANA II,-4.9291,-37.6836,0
JANDAIA,-4.4088,-37.8442,0
MARACANAU II,-3.9083,-38.6476,0
MARACANAU II,-3.9083,-38.6476,0
MASSAPE II,-3.563,-40.3427,0
MAURITI II,-7.366,-38.781,0
MILAGRES,-7.3069,-38.9384,0
MILAGRES,-7.3069,-38.9384,0
MILAGRES,-7.3069,-38.9384,0
MILAGRES II,-7.3443,-38.924,0
PACATUBA,-3.9004,-38.5412,0
PACATUBA,-3.9004,-38.5412,0
PACATUBA,-3.9004,-38.5412,0
